"Lemma","SFI Rank","SFI","Adjusted Frequency per Million (U)"
"directly","1051","59.34","86"
"heavy","1052","59.34","86"
"remove","1053","59.33","86"
"conduct","1054","59.33","86"
"equipment","1055","59.33","86"
"otherwise","1056","59.33","86"
"title","1057","59.32","86"
"extra","1058","59.31","85"
"executive","1059","59.31","85"
"chair","1060","59.31","85"
"expensive","1061","59.31","85"
"sample","1062","59.3","85"
"sex","1063","59.3","85"
"deliver","1064","59.29","85"
"video","1065","59.29","85"
"connection","1066","59.29","85"
"primary","1067","59.28","85"
"weather","1068","59.27","85"
"collect","1069","59.27","84"
"inform","1070","59.25","84"
"principle","1071","59.25","84"
"straight","1072","59.24","84"
"appeal","1073","59.24","84"
"highly","1074","59.24","84"
"trust","1075","59.24","84"
