"Lemma","SFI Rank","SFI","Adjusted Frequency per Million (U)"
"the","1","87.85","60910"
"be","2","86.86","48575"
"and","3","84.88","30789"
"of","4","84.79","30126"
"to","5","84.66","29272"
"a","6","84.45","27872"
"in","7","83.25","21142"
"have","8","81.53","14210"
"it","9","81.39","13772"
"you","10","81.08","12810"
"he","11","80.42","11017"
"for","12","80.01","10025"
"they","13","79.9","9764"
"not","14","79.77","9494"
"that","15","79.37","8653"
"we","16","79.24","8401"
"on","17","78.9","7763"
"with","18","78.68","7381"
"this","19","78.45","7003"
"I","20","78.34","6820"
"do","21","78.33","6802"
"as","22","78.29","6747"
"at","23","77.46","5570"
"she","24","77.16","5195"
"but","25","77.06","5087"
