"Lemma","SFI Rank","SFI","Adjusted Frequency per Million (U)"
"last","101","69.62","917"
"child","102","69.59","910"
"tell","103","69.55","901"
"really","104","69.4","870"
"call","105","69.39","869"
"before","106","69.29","849"
"company","107","69.25","842"
"through","108","69.23","838"
"down","109","69.21","833"
"show","110","69.18","827"
"life","111","69.09","812"
"man","112","69.07","807"
"change","113","69.02","799"
"place","114","69","795"
"long","115","68.98","791"
"between","116","68.94","784"
"feel","117","68.92","780"
"too","118","68.82","763"
"still","119","68.76","752"
"problem","120","68.65","733"
"write","121","68.65","732"
"same","122","68.58","721"
"lot","123","68.54","715"
"great","124","68.51","710"
"try","125","68.45","699"
