"Lemma","SFI Rank","SFI","Adjusted Frequency per Million (U)"
"among","376","64.23","265"
"win","377","64.21","264"
"color","378","64.2","263"
"involve","379","64.16","260"
"reach","380","64.15","260"
"social","381","64.15","260"
"period","382","64.13","259"
"across","383","64.12","258"
"note","384","64.12","258"
"history","385","64.12","258"
"create","386","64.11","258"
"drive","387","64.11","258"
"along","388","64.1","257"
"type","389","64.09","257"
"sound","390","64.08","256"
"eye","391","64.07","256"
"music","392","64.07","255"
"game","393","64.07","255"
"political","394","64.06","255"
"free","395","64.06","255"
"receive","396","64.05","254"
"moment","397","64.05","254"
"sale","398","64.04","254"
"policy","399","64.04","253"
"further","400","63.99","251"
