"Lemma","SFI Rank","SFI","Adjusted Frequency per Million (U)"
"plot","1951","55.7","37"
"neck","1952","55.69","37"
"criteria","1953","55.67","37"
"primarily","1954","55.67","37"
"integrate","1955","55.67","37"
"criticism","1956","55.66","37"
"convention","1957","55.66","37"
"bet","1958","55.66","37"
"retain","1959","55.66","37"
"sequence","1960","55.66","37"
"plain","1961","55.65","37"
"volunteer","1962","55.64","37"
"rural","1963","55.64","37"
"calm","1964","55.64","37"
"abandon","1965","55.64","37"
"examination","1966","55.64","37"
"silence","1967","55.64","37"
"rapidly","1968","55.63","37"
"efficient","1969","55.62","37"
"revolution","1970","55.62","36"
"delight","1971","55.62","36"
"spell","1972","55.61","36"
"premise","1973","55.61","36"
"lean","1974","55.6","36"
"dramatic","1975","55.6","36"
