"Lemma","SFI Rank","SFI","Adjusted Frequency per Million (U)"
"wonderful","1076","59.23","84"
"flat","1077","59.23","84"
"absolutely","1078","59.22","84"
"flow","1079","59.22","84"
"fair","1080","59.22","84"
"additional","1081","59.21","83"
"responsible","1082","59.21","83"
"farm","1083","59.2","83"
"collection","1084","59.2","83"
"hang","1085","59.19","83"
"negative","1086","59.18","83"
"band","1087","59.18","83"
"relative","1088","59.17","83"
"tour","1089","59.17","83"
"alternative","1090","59.17","83"
"software","1091","59.17","83"
"pair","1092","59.16","82"
"ship","1093","59.16","82"
"attitude","1094","59.14","82"
"cheap","1095","59.14","82"
"double","1096","59.14","82"
"leg","1097","59.13","82"
"observe","1098","59.13","82"
"sentence","1099","59.13","82"
"print","1100","59.12","82"
