"Lemma","SFI Rank","SFI","Adjusted Frequency per Million (U)"
"charm","2376","54.38","27"
"react","2377","54.38","27"
"lecture","2378","54.37","27"
"venture","2379","54.37","27"
"compound","2380","54.37","27"
"rescue","2381","54.37","27"
"mess","2382","54.36","27"
"preference","2383","54.36","27"
"comprehensive","2384","54.35","27"
"incentive","2385","54.35","27"
"league","2386","54.33","27"
"dialog","2387","54.33","27"
"cream","2388","54.33","27"
"rapid","2389","54.32","27"
"cancel","2390","54.32","27"
"regret","2391","54.32","27"
"dismiss","2392","54.32","27"
"margin","2393","54.32","27"
"beneath","2394","54.32","27"
"opponent","2395","54.31","27"
"resist","2396","54.3","27"
"capability","2397","54.3","27"
"absolute","2398","54.3","27"
"correspond","2399","54.3","27"
"stroke","2400","54.3","27"
