"Lemma","SFI Rank","SFI","Adjusted Frequency per Million (U)"
"progress","1101","59.12","82"
"truth","1102","59.11","82"
"nobody","1103","59.11","82"
"examine","1104","59.1","81"
"lay","1105","59.1","81"
"speed","1106","59.09","81"
"politics","1107","59.09","81"
"reply","1108","59.08","81"
"display","1109","59.08","81"
"transfer","1110","59.08","81"
"perfect","1111","59.07","81"
"slightly","1112","59.07","81"
"overall","1113","59.07","81"
"intend","1114","59.06","80"
"user","1115","59.05","80"
"respond","1116","59.05","80"
"dinner","1117","59.04","80"
"slow","1118","59.04","80"
"regular","1119","59.04","80"
"physical","1120","59.04","80"
"apart","1121","59.02","80"
"suit","1122","59.01","80"
"federal","1123","59.01","80"
"reveal","1124","59.01","80"
"percentage","1125","59","79"
