"Lemma","SFI Rank","SFI","Adjusted Frequency per Million (U)"
"side","276","65.51","356"
"quite","277","65.5","354"
"although","278","65.46","351"
"sure","279","65.45","351"
"term","280","65.44","350"
"least","281","65.44","350"
"age","282","65.43","349"
"low","283","65.43","349"
"speak","284","65.42","348"
"within","285","65.4","347"
"process","286","65.4","346"
"public","287","65.35","343"
"often","288","65.33","341"
"train","289","65.29","338"
"possible","290","65.28","337"
"actually","291","65.28","337"
"rather","292","65.27","336"
"view","293","65.26","336"
"together","294","65.24","334"
"consider","295","65.24","334"
"price","296","65.14","327"
"parent","297","65.14","326"
"hard","298","65.12","325"
"party","299","65.08","322"
"local","300","65.06","321"
