"Lemma","SFI Rank","SFI","Adjusted Frequency per Million (U)"
"avoid","851","60.47","111"
"seat","852","60.45","111"
"throw","853","60.45","111"
"task","854","60.44","111"
"normal","855","60.43","110"
"goal","856","60.42","110"
"associate","857","60.42","110"
"blue","858","60.41","110"
"positive","859","60.4","110"
"option","860","60.4","110"
"box","861","60.39","109"
"huge","862","60.39","109"
"message","863","60.39","109"
"instance","864","60.38","109"
"style","865","60.38","109"
"refer","866","60.37","109"
"cold","867","60.36","109"
"push","868","60.36","109"
"quarter","869","60.36","109"
"assume","870","60.34","108"
"baby","871","60.33","108"
"successful","872","60.32","108"
"sing","873","60.32","108"
"doubt","874","60.32","108"
"competition","875","60.32","108"
