"Lemma","SFI Rank","SFI","Adjusted Frequency per Million (U)"
"revenue","1351","58.04","64"
"enable","1352","58.04","64"
"afraid","1353","58.03","63"
"active","1354","58.03","63"
"conclude","1355","58.02","63"
"religious","1356","58.01","63"
"cancer","1357","58.01","63"
"convince","1358","58.01","63"
"vary","1359","58.01","63"
"environmental","1360","58","63"
"sun","1361","58","63"
"healthy","1362","57.99","63"
"blow","1363","57.98","63"
"volume","1364","57.97","63"
"location","1365","57.97","63"
"invest","1366","57.97","63"
"proceed","1367","57.97","63"
"wash","1368","57.97","63"
"actor","1369","57.96","63"
"glad","1370","57.96","63"
"tape","1371","57.96","62"
"whereas","1372","57.96","62"
"opposite","1373","57.95","62"
"stone","1374","57.95","62"
"sum","1375","57.95","62"
