"Lemma","SFI Rank","SFI","Adjusted Frequency per Million (U)"
"foot","576","62.22","167"
"effort","577","62.22","167"
"attention","578","62.21","166"
"upon","579","62.21","166"
"check","580","62.2","166"
"complete","581","62.2","166"
"lie","582","62.19","166"
"pick","583","62.19","166"
"reduce","584","62.19","165"
"personal","585","62.19","165"
"ground","586","62.18","165"
"animal","587","62.17","165"
"arrive","588","62.17","165"
"patient","589","62.17","165"
"current","590","62.15","164"
"century","591","62.14","163"
"evidence","592","62.13","163"
"exist","593","62.13","163"
"similar","594","62.12","163"
"fight","595","62.12","163"
"leader","596","62.12","163"
"fine","597","62.11","162"
"street","598","62.11","162"
"former","599","62.1","162"
"contact","600","62.09","162"
