"Lemma","SFI Rank","SFI","Adjusted Frequency per Million (U)"
"second","226","66.36","433"
"though","227","66.34","430"
"yes","228","66.33","430"
"love","229","66.3","427"
"increase","230","66.28","425"
"job","231","66.28","425"
"plan","232","66.28","425"
"result","233","66.27","424"
"away","234","66.27","424"
"example","235","66.24","420"
"happen","236","66.23","420"
"offer","237","66.21","418"
"young","238","66.2","417"
"close","239","66.19","416"
"program","240","66.17","414"
"lead","241","66.13","410"
"buy","242","66.07","405"
"understand","243","66.05","403"
"thank","244","66.01","399"
"far","245","66","398"
"today","246","65.94","392"
"hour","247","65.93","391"
"student","248","65.92","391"
"face","249","65.91","390"
"hope","250","65.89","388"
