"Lemma","SFI Rank","SFI","Adjusted Frequency per Million (U)"
"guy","701","61.33","136"
"function","702","61.32","135"
"yesterday","703","61.32","135"
"image","704","61.31","135"
"size","705","61.3","135"
"behavior","706","61.3","135"
"addition","707","61.3","135"
"determine","708","61.29","134"
"station","709","61.28","134"
"population","710","61.28","134"
"fail","711","61.27","134"
"environment","712","61.27","134"
"production","713","61.25","133"
"contract","714","61.24","133"
"player","715","61.22","132"
"comment","716","61.22","132"
"enter","717","61.21","132"
"occur","718","61.2","132"
"alone","719","61.2","132"
"significant","720","61.18","131"
"drug","721","61.18","131"
"wall","722","61.17","131"
"series","723","61.17","131"
"direct","724","61.16","131"
"success","725","61.15","130"
