"Lemma","SFI Rank","SFI","Adjusted Frequency per Million (U)"
"cope","1901","55.83","38"
"approximately","1902","55.83","38"
"accommodation","1903","55.83","38"
"highlight","1904","55.83","38"
"reporter","1905","55.83","38"
"climate","1906","55.83","38"
"shirt","1907","55.82","38"
"exception","1908","55.82","38"
"corporation","1909","55.82","38"
"chip","1910","55.81","38"
"winner","1911","55.81","38"
"encounter","1912","55.81","38"
"brown","1913","55.81","38"
"breathe","1914","55.81","38"
"excuse","1915","55.8","38"
"partly","1916","55.8","38"
"tennis","1917","55.79","38"
"urban","1918","55.79","38"
"confuse","1919","55.79","38"
"southern","1920","55.79","38"
"output","1921","55.79","38"
"beauty","1922","55.79","38"
"massive","1923","55.79","38"
"install","1924","55.78","38"
"calculate","1925","55.78","38"
