"Lemma","SFI Rank","SFI","Adjusted Frequency per Million (U)"
"prevent","1026","59.48","89"
"safe","1027","59.47","89"
"invite","1028","59.47","88"
"mix","1029","59.46","88"
"element","1030","59.45","88"
"effective","1031","59.45","88"
"correct","1032","59.45","88"
"medical","1033","59.43","88"
"admit","1034","59.42","88"
"beat","1035","59.42","87"
"telephone","1036","59.42","87"
"copy","1037","59.41","87"
"committee","1038","59.4","87"
"aware","1039","59.4","87"
"advice","1040","59.4","87"
"handle","1041","59.39","87"
"glass","1042","59.39","87"
"trial","1043","59.38","87"
"stress","1044","59.38","87"
"radio","1045","59.37","86"
"administration","1046","59.36","86"
"complex","1047","59.36","86"
"text","1048","59.35","86"
"context","1049","59.35","86"
"ride","1050","59.34","86"
