"Lemma","SFI Rank","SFI","Adjusted Frequency per Million (U)"
"remember","351","64.5","282"
"bit","352","64.49","281"
"share","353","64.48","281"
"real","354","64.47","280"
"answer","355","64.46","279"
"sit","356","64.44","278"
"figure","357","64.43","278"
"letter","358","64.43","277"
"decide","359","64.41","276"
"language","360","64.39","275"
"subject","361","64.35","273"
"class","362","64.35","272"
"development","363","64.31","270"
"town","364","64.31","269"
"half","365","64.29","269"
"minute","366","64.28","268"
"food","367","64.28","268"
"break","368","64.28","268"
"clear","369","64.25","266"
"future","370","64.24","266"
"either","371","64.24","266"
"ago","372","64.24","265"
"per","373","64.24","265"
"remain","374","64.24","265"
"top","375","64.23","265"
