"Lemma","SFI Rank","SFI","Adjusted Frequency per Million (U)"
"strike","776","60.93","124"
"mile","777","60.92","124"
"seek","778","60.92","123"
"ability","779","60.9","123"
"unit","780","60.9","123"
"card","781","60.89","123"
"hospital","782","60.88","123"
"quickly","783","60.86","122"
"interview","784","60.86","122"
"agreement","785","60.85","122"
"release","786","60.85","122"
"tax","787","60.85","122"
"solution","788","60.85","122"
"capital","789","60.83","121"
"popular","790","60.82","121"
"specific","791","60.82","121"
"beautiful","792","60.82","121"
"fear","793","60.81","121"
"aim","794","60.81","121"
"television","795","60.81","120"
"serious","796","60.81","120"
"target","797","60.8","120"
"degree","798","60.78","120"
"pull","799","60.77","120"
"red","800","60.77","119"
