"Lemma","SFI Rank","SFI","Adjusted Frequency per Million (U)"
"hi","1826","56.08","41"
"yellow","1827","56.08","41"
"habit","1828","56.08","41"
"disk","1829","56.08","41"
"core","1830","56.08","41"
"emotional","1831","56.08","41"
"aircraft","1832","56.07","40"
"self","1833","56.07","40"
"metal","1834","56.07","40"
"existence","1835","56.07","40"
"bone","1836","56.06","40"
"panel","1837","56.05","40"
"prime","1838","56.05","40"
"appointment","1839","56.04","40"
"emphasize","1840","56.03","40"
"maximum","1841","56.03","40"
"effectively","1842","56.02","40"
"elsewhere","1843","56.01","40"
"bother","1844","56.01","40"
"initiative","1845","56.01","40"
"sharp","1846","56.01","40"
"diet","1847","56","40"
"motion","1848","56","40"
"gray","1849","56","40"
"plastic","1850","56","40"
