"Lemma","SFI Rank","SFI","Adjusted Frequency per Million (U)"
"simply","626","61.86","153"
"bank","627","61.85","153"
"firm","628","61.84","153"
"cell","629","61.84","153"
"article","630","61.81","152"
"fast","631","61.8","151"
"attack","632","61.79","151"
"foreign","633","61.79","151"
"surprise","634","61.78","151"
"feature","635","61.77","150"
"factor","636","61.77","150"
"pretty","637","61.76","150"
"recently","638","61.76","150"
"affect","639","61.76","150"
"drop","640","61.75","150"
"recent","641","61.74","149"
"relate","642","61.74","149"
"official","643","61.73","149"
"financial","644","61.73","149"
"miss","645","61.72","149"
"art","646","61.72","149"
"campaign","647","61.71","148"
"private","648","61.71","148"
"pause","649","61.7","148"
"everyone","650","61.69","148"
