"Lemma","SFI Rank","SFI","Adjusted Frequency per Million (U)"
"log","2226","54.86","31"
"giant","2227","54.86","31"
"god","2228","54.85","31"
"portion","2229","54.85","31"
"substance","2230","54.85","31"
"extensive","2231","54.85","31"
"interpret","2232","54.84","30"
"independence","2233","54.83","30"
"sugar","2234","54.83","30"
"inner","2235","54.83","30"
"harm","2236","54.82","30"
"consult","2237","54.82","30"
"pink","2238","54.81","30"
"shadow","2239","54.81","30"
"strip","2240","54.81","30"
"smooth","2241","54.81","30"
"intervention","2242","54.81","30"
"impress","2243","54.81","30"
"exam","2244","54.81","30"
"vice","2245","54.81","30"
"radical","2246","54.8","30"
"similarly","2247","54.8","30"
"behave","2248","54.8","30"
"loud","2249","54.8","30"
"dimension","2250","54.8","30"
