"Lemma","SFI Rank","SFI","Adjusted Frequency per Million (U)"
"position","426","63.72","236"
"near","427","63.72","236"
"human","428","63.72","235"
"computer","429","63.72","235"
"situation","430","63.7","235"
"staff","431","63.7","234"
"activity","432","63.68","234"
"film","433","63.66","232"
"morning","434","63.65","232"
"war","435","63.63","231"
"account","436","63.63","231"
"shop","437","63.62","230"
"major","438","63.59","229"
"someone","439","63.58","228"
"above","440","63.58","228"
"design","441","63.58","228"
"event","442","63.57","228"
"special","443","63.57","228"
"sometimes","444","63.57","227"
"condition","445","63.54","226"
"carry","446","63.54","226"
"choose","447","63.53","225"
"father","448","63.51","225"
"decision","449","63.51","224"
"table","450","63.5","224"
