"Lemma","SFI Rank","SFI","Adjusted Frequency per Million (U)"
"yeah","976","59.77","95"
"candidate","977","59.74","94"
"weight","978","59.74","94"
"legal","979","59.72","94"
"proposal","980","59.71","94"
"version","981","59.71","94"
"conversation","982","59.71","93"
"somebody","983","59.7","93"
"pound","984","59.69","93"
"magazine","985","59.69","93"
"shape","986","59.69","93"
"sea","987","59.68","93"
"immediately","988","59.67","93"
"welcome","989","59.67","93"
"smile","990","59.67","93"
"communication","991","59.67","93"
"agent","992","59.65","92"
"traditional","993","59.65","92"
"replace","994","59.64","92"
"judge","995","59.64","92"
"herself","996","59.63","92"
"suddenly","997","59.63","92"
"generation","998","59.63","92"
"estimate","999","59.63","92"
"favorite","1000","59.62","92"
