"Lemma","SFI Rank","SFI","Adjusted Frequency per Million (U)"
"flower","1301","58.24","67"
"crisis","1302","58.24","67"
"settle","1303","58.23","67"
"boat","1304","58.23","66"
"aid","1305","58.23","66"
"fan","1306","58.23","66"
"kitchen","1307","58.23","66"
"twice","1308","58.22","66"
"fresh","1309","58.22","66"
"delay","1310","58.22","66"
"safety","1311","58.22","66"
"engineer","1312","58.22","66"
"quiet","1313","58.21","66"
"insurance","1314","58.21","66"
"nurse","1315","58.21","66"
"divide","1316","58.2","66"
"length","1317","58.2","66"
"investigation","1318","58.19","66"
"package","1319","58.19","66"
"somewhere","1320","58.19","66"
"expand","1321","58.18","66"
"commit","1322","58.18","66"
"obvious","1323","58.18","66"
"jump","1324","58.16","65"
"weapon","1325","58.16","65"
