"Lemma","SFI Rank","SFI","Adjusted Frequency per Million (U)"
"apparent","2151","55.07","32"
"western","2152","55.07","32"
"expansion","2153","55.06","32"
"constantly","2154","55.06","32"
"muscle","2155","55.06","32"
"scare","2156","55.06","32"
"badly","2157","55.05","32"
"everyday","2158","55.05","32"
"boundary","2159","55.05","32"
"ratio","2160","55.05","32"
"essay","2161","55.05","32"
"scream","2162","55.04","32"
"withdraw","2163","55.03","32"
"pollution","2164","55.03","32"
"disorder","2165","55.03","32"
"furniture","2166","55.02","32"
"symbol","2167","55.01","32"
"apartment","2168","55.01","32"
"demonstration","2169","55.01","32"
"analyst","2170","55","32"
"platform","2171","54.99","32"
"steel","2172","54.99","32"
"cake","2173","54.99","32"
"transform","2174","54.99","32"
"wound","2175","54.98","31"
