"Lemma","SFI Rank","SFI","Adjusted Frequency per Million (U)"
"difficulty","1001","59.62","92"
"purchase","1002","59.61","91"
"shoot","1003","59.6","91"
"announce","1004","59.6","91"
"unless","1005","59.6","91"
"independent","1006","59.59","91"
"recommend","1007","59.58","91"
"survey","1008","59.58","91"
"majority","1009","59.58","91"
"stick","1010","59.57","91"
"request","1011","59.56","90"
"rich","1012","59.54","90"
"wind","1013","59.54","90"
"none","1014","59.53","90"
"exchange","1015","59.52","90"
"budget","1016","59.51","89"
"famous","1017","59.51","89"
"blood","1018","59.51","89"
"appropriate","1019","59.51","89"
"block","1020","59.51","89"
"warm","1021","59.5","89"
"count","1022","59.5","89"
"scene","1023","59.5","89"
"writer","1024","59.49","89"
"content","1025","59.49","89"
