"Lemma","SFI Rank","SFI","Adjusted Frequency per Million (U)"
"control","301","65.05","320"
"already","302","65.02","318"
"concern","303","65.02","317"
"product","304","65.01","317"
"lose","305","65","316"
"story","306","64.98","315"
"almost","307","64.98","315"
"continue","308","64.96","314"
"stand","309","64.95","313"
"whole","310","64.95","313"
"yet","311","64.95","313"
"rate","312","64.94","312"
"care","313","64.93","311"
"expect","314","64.93","311"
"effect","315","64.93","311"
"sort","316","64.92","311"
"ever","317","64.92","311"
"anything","318","64.92","310"
"cause","319","64.9","309"
"fall","320","64.89","309"
"deal","321","64.89","309"
"water","322","64.87","307"
"send","323","64.86","306"
"allow","324","64.84","305"
"soon","325","64.84","304"
