"Lemma","SFI Rank","SFI","Adjusted Frequency per Million (U)"
"king","1876","55.93","39"
"interaction","1877","55.92","39"
"repair","1878","55.92","39"
"collapse","1879","55.92","39"
"borrow","1880","55.92","39"
"fundamental","1881","55.9","39"
"dish","1882","55.89","39"
"abroad","1883","55.89","39"
"soul","1884","55.89","39"
"capable","1885","55.88","39"
"defeat","1886","55.88","39"
"presidential","1887","55.87","39"
"perfectly","1888","55.87","39"
"enhance","1889","55.87","39"
"proud","1890","55.87","39"
"emergency","1891","55.87","39"
"educational","1892","55.87","39"
"distinguish","1893","55.86","39"
"substantial","1894","55.86","39"
"nearby","1895","55.85","38"
"manufacturer","1896","55.85","38"
"slide","1897","55.85","38"
"valuable","1898","55.85","38"
"personally","1899","55.85","38"
"breast","1900","55.85","38"
