"Lemma","SFI Rank","SFI","Adjusted Frequency per Million (U)"
"guess","901","60.2","105"
"fun","902","60.2","105"
"protect","903","60.2","105"
"resource","904","60.19","105"
"science","905","60.19","104"
"disease","906","60.19","104"
"balance","907","60.18","104"
"damage","908","60.18","104"
"basis","909","60.18","104"
"author","910","60.17","104"
"basic","911","60.17","104"
"encourage","912","60.16","104"
"hair","913","60.15","104"
"male","914","60.15","103"
"operate","915","60.14","103"
"reflect","916","60.14","103"
"exercise","917","60.13","103"
"useful","918","60.12","103"
"restaurant","919","60.12","103"
"income","920","60.12","103"
"property","921","60.12","103"
"previous","922","60.12","103"
"dark","923","60.11","103"
"imagine","924","60.11","102"
"okay","925","60.1","102"
