"Lemma","SFI Rank","SFI","Adjusted Frequency per Million (U)"
"beyond","826","60.62","115"
"sleep","827","60.61","115"
"fish","828","60.6","115"
"promise","829","60.6","115"
"potential","830","60.59","115"
"energy","831","60.59","115"
"trouble","832","60.59","115"
"relation","833","60.58","114"
"touch","834","60.56","114"
"file","835","60.56","114"
"middle","836","60.56","114"
"bar","837","60.55","114"
"suffer","838","60.55","113"
"strategy","839","60.55","113"
"deep","840","60.54","113"
"except","841","60.54","113"
"clean","842","60.54","113"
"tend","843","60.54","113"
"advance","844","60.54","113"
"fill","845","60.53","113"
"star","846","60.52","113"
"network","847","60.5","112"
"generally","848","60.5","112"
"operation","849","60.49","112"
"match","850","60.47","111"
