"Lemma","SFI Rank","SFI","Adjusted Frequency per Million (U)"
"watch","326","64.8","302"
"base","327","64.78","300"
"probably","328","64.75","299"
"suggest","329","64.74","298"
"past","330","64.73","297"
"power","331","64.72","296"
"test","332","64.71","296"
"visit","333","64.7","295"
"center","334","64.7","295"
"grow","335","64.69","294"
"nothing","336","64.68","294"
"return","337","64.68","294"
"mother","338","64.67","293"
"walk","339","64.63","291"
"matter","340","64.63","290"
"mind","341","64.62","290"
"value","342","64.61","289"
"office","343","64.59","288"
"record","344","64.59","287"
"stay","345","64.57","286"
"force","346","64.57","286"
"stop","347","64.55","285"
"several","348","64.54","285"
"light","349","64.53","284"
"develop","350","64.51","282"
